,0,1
126,1212.05,12.5284
127,1212.04,1.979
128,1212.01,0.3442
129,1212.0,8.9278
130,1211.99,0.8415
131,1211.98,12.1298
132,1211.96,0.03
133,1211.95,3.0177
134,1211.93,0.0221
135,1211.92,2.231
136,1211.91,10.4751
137,1211.9,9.6119
138,1211.89,1.029
139,1211.87,0.8478
140,1211.84,4.7096
141,1211.83,9.9693
142,1211.8,9.8921
143,1211.75,2.3359
144,1211.74,1.1155
145,1211.72,7.5831
146,1211.71,2.0632
147,1211.7,18.4437
148,1211.69,12.3347
149,1211.67,7.5072
150,1211.65,3.7239
151,1211.64,9.3145
152,1211.63,4.2815
153,1211.62,9.8939
154,1211.61,7.5322
155,1211.6,0.0612
156,1211.59,0.1413
157,1211.58,0.0438
158,1211.55,2.2585
159,1211.54,3.0029
160,1211.53,7.5072
161,1211.52,3.3367
162,1211.51,0.0512
163,1211.5,4.5133
164,1211.45,3.6261
165,1211.44,2.2296
166,1211.43,0.7518
167,1211.42,0.0672
168,1211.41,3.9624
169,1211.4,9.9044
170,1211.39,6.2188
171,1211.38,14.9539
172,1211.36,0.0361
173,1211.33,2.2499
174,1211.31,0.0454
175,1211.3,0.019
176,1211.29,5.8671
177,1211.28,12.7915
178,1211.27,0.3
179,1211.26,9.9203
180,1211.24,0.9436
181,1211.23,2.3592
182,1211.22,4.1753
183,1211.21,9.8948
184,1211.19,0.1413
185,1211.18,0.049
186,1211.16,0.9979
187,1211.14,2.4935
188,1211.11,0.0724
189,1211.1,0.0352
190,1211.09,2.3206
191,1211.07,4.9546
192,1211.06,13.8859
193,1211.04,1.9067
194,1211.03,3.9683
195,1211.02,2.3801
196,1211.01,9.8955
197,1211.0,1.8132
198,1210.98,0.0208
199,1210.96,0.0831
200,1210.94,8.9557
201,1210.93,12.3876
202,1210.92,0.0338
203,1210.9,2.3662
204,1210.89,0.0124
205,1210.88,3.0692
206,1210.87,0.0823
207,1210.86,7.6712
208,1210.85,0.0266
209,1210.81,1.5
210,1210.8,1.7466
211,1210.79,2.3223
212,1210.77,0.1413
213,1210.73,0.0823
214,1210.72,2.3506
215,1210.69,0.2051
216,1210.67,0.0353
217,1210.66,2.3291
218,1210.64,21.922
219,1210.63,0.016
220,1210.62,0.0089
221,1210.6,0.0817
222,1210.58,0.0506
223,1210.57,0.0222
224,1210.54,2.3342
225,1210.52,0.0755
226,1210.51,0.0147
227,1210.5,0.2521
228,1210.49,0.0165
229,1210.48,0.009
230,1210.47,1.0083
231,1210.44,0.9518
232,1210.43,2.3776
233,1210.42,0.1011
234,1210.41,0.0395
235,1210.4,0.0165
236,1210.37,2.3246
237,1210.36,0.0226
238,1210.35,0.6148
239,1210.34,2.8921
240,1210.33,2.9062
241,1210.32,7.2281
242,1210.29,2.3223
243,1210.27,0.1018
244,1210.26,0.098
245,1210.24,0.5239
246,1210.22,0.9289
247,1210.21,2.3223
248,1210.2,0.051
249,1210.19,0.0588
250,1210.17,0.0162
251,1210.14,2.3223
252,1210.09,0.0266
253,1210.08,0.0292
254,1210.07,34.531
255,1210.06,2.3154
256,1210.0,7.8803
257,1209.96,0.1652
258,1209.93,0.2179
259,1209.91,131.2192
260,1209.88,0.32
261,1209.87,0.01
262,1209.85,0.5054
263,1209.82,0.0429
264,1209.78,7.6706
265,1209.77,2.0863
266,1209.76,0.4919
267,1209.75,0.0094
268,1209.74,0.1303
269,1209.73,0.0087
270,1209.71,0.0123
271,1209.66,0.0201
272,1209.64,0.2422
273,1209.61,0.0252
274,1209.56,0.9948
275,1209.55,0.0104
276,1209.54,0.0094
277,1209.53,0.2706
278,1209.51,0.0361
279,1209.5,0.1744
280,1209.48,0.077
281,1209.47,0.05
282,1209.45,0.0086
283,1209.41,0.92
