,0,1
227,1219.04,0.64
228,1219.07,0.62
229,1219.1,0.0105
230,1219.14,0.32
231,1219.15,0.62
232,1219.18,4.65
233,1219.19,7.5542
234,1219.22,0.0268
235,1219.26,0.01
236,1219.27,0.0087
237,1219.39,0.1413
238,1219.42,0.0148
239,1219.47,7.5255
240,1219.49,0.011
241,1219.5,0.0094
242,1219.51,0.0401
243,1219.52,20.0
244,1219.54,0.0569
245,1219.55,2.6227
246,1219.58,0.1015
247,1219.64,0.009
248,1219.69,0.0181
249,1219.71,0.0099
250,1219.75,121.0023
251,1219.76,360.073
252,1219.78,4.5609
253,1219.81,0.0176
254,1219.85,0.0351
255,1219.93,7.523
256,1219.94,0.01
257,1219.96,44.6234
258,1220.0,50.4482
259,1220.01,0.7112
260,1220.11,7.5232
261,1220.12,102.627
262,1220.28,1.2145
263,1220.29,7.4074
264,1220.31,0.0094
265,1220.34,0.5597
266,1220.35,0.8193
267,1220.36,0.0093
268,1220.4,0.0162
269,1220.47,7.5123
270,1220.48,0.0188
271,1220.5,0.0355
272,1220.56,0.3636
273,1220.57,0.0177
274,1220.61,0.9002
275,1220.65,7.6453
276,1220.66,0.0123
277,1220.7,0.009
278,1220.72,0.0723
279,1220.73,4.1759
280,1220.77,0.0106
281,1220.8,0.0495
282,1220.83,7.2449
283,1220.85,2.1965
284,1221.0,1.1628
285,1221.01,7.33
286,1221.02,0.0198
287,1221.05,0.0247
288,1221.13,0.0424
289,1221.14,20.081
290,1221.16,0.0168
291,1221.17,0.4927
292,1221.19,7.7291
293,1221.2,0.0112
294,1221.21,0.0171
295,1221.23,0.1838
296,1221.25,0.0293
297,1221.26,0.0305
298,1221.27,0.0305
299,1221.32,0.0091
300,1221.35,0.0277
301,1221.37,7.3678
302,1221.38,0.0147
303,1221.42,0.0291
304,1221.49,2.2745
305,1221.53,7.7278
306,1221.57,0.1514
307,1221.58,0.021
308,1221.62,0.0094
309,1221.63,0.0084
310,1221.64,0.0448
311,1221.66,0.0095
312,1221.67,0.8958
313,1221.68,0.5167
314,1221.69,7.6901
315,1221.7,0.012
316,1221.71,2.4834
317,1221.72,0.0421
318,1221.74,0.0082
319,1221.75,0.0165
320,1221.79,0.0288
321,1221.8,0.0128
322,1221.82,170.4375
323,1221.85,7.5112
324,1221.86,0.0734
325,1221.87,0.0105
326,1221.88,0.0091
327,1221.9,0.0105
328,1221.94,0.0093
329,1221.96,0.0832
330,1221.99,0.0292
331,1222.0,11.4463
332,1222.01,7.6292
333,1222.02,0.0266
334,1222.03,0.0093
335,1222.08,0.0265
336,1222.09,0.0164
337,1222.1,1.9004
338,1222.11,0.0119
339,1222.13,0.0214
340,1222.16,0.0444
341,1222.17,7.6451
342,1222.18,0.0189
343,1222.19,0.2895
344,1222.2,0.0258
345,1222.22,0.01
346,1222.23,0.0722
347,1222.25,0.0416
348,1222.28,0.7392
349,1222.29,4.1692
350,1222.3,0.0209
351,1222.32,0.02
352,1222.33,7.3759
353,1222.36,0.0302
354,1222.38,0.02
355,1222.39,0.0211
356,1222.4,0.0106
357,1222.42,0.0096
358,1222.43,0.0124
359,1222.45,0.0234
360,1222.46,0.0994
361,1222.49,7.6597
362,1222.5,1.6998
363,1222.53,0.0841
364,1222.54,0.0498
365,1222.55,0.0176
366,1222.57,0.0244
367,1222.58,0.0108
368,1222.61,0.0651
369,1222.62,0.0462
370,1222.63,0.0142
371,1222.64,0.0305
372,1222.65,7.7467
373,1222.67,0.0323
374,1222.73,0.0282
375,1222.75,0.0094
376,1222.77,9.7266
377,1222.78,266.4317
378,1222.8,1.0417
379,1222.81,10.4749
380,1222.82,8.2606
381,1222.85,0.0753
382,1222.86,0.0106
383,1222.89,0.3477
384,1222.94,0.01
385,1222.96,0.0329
386,1222.98,10.3389
387,1223.0,98.2824
388,1223.01,0.0241
389,1223.02,0.3671
390,1223.03,0.035
391,1223.07,0.0113
392,1223.11,0.0249
393,1223.12,0.143
394,1223.13,0.1585
395,1223.15,0.0143
396,1223.16,0.2053
397,1223.17,0.0165
398,1223.18,0.0206
399,1223.2,0.0127
400,1223.21,0.03
401,1223.23,0.4
402,1223.25,0.0089
403,1223.26,0.0127
404,1223.28,0.0449
405,1223.29,0.855
406,1223.32,0.2235
407,1223.33,0.0591
408,1223.38,0.013
409,1223.41,0.0101
410,1223.42,0.0222
411,1223.44,0.4919
412,1223.45,0.0091
413,1223.49,10.5046
414,1223.5,1.6439
415,1223.51,0.0302
416,1223.52,0.0131
417,1223.55,0.0685
418,1223.57,0.0559
419,1223.6,8.4706
